"","egg.dens","b.depth","lat","lon","time","flow","s.depth","temp.surf","temp.20m","net.area","c.dist"
"4",18.26,1438,44.02,-2.87,19.33,420,98,16.6,16.6,0.242,0.395640869100006
"5",90.16,166,44.02,-2.07,8.78,354,101,16.7,16.7,0.242,0.040008823727421
"6",62.93,460,44.02,-2.13,9.42,373,100,16.6,16.6,0.242,0.097423446300949
"8",23,887,44.02,-2.35,11,364,102,17.1,17.1,0.242,0.316052431398896
"14",36.35,847,44.12,-2.2,15.75,416,93,17,17,0.242,0.196561190521889
"16",19.3,266,44.12,-2.07,16.9,409,98,16.9,16.9,0.242,0.074574035672931
"17",58.71,181,44.37,-2.07,5.67,411,98,17.1,17.1,0.242,0.073706918261542
"18",19.16,467,44.37,-2.13,6.25,432,99,17.3,17.3,0.242,0.130851142479195
"25",42.46,883,44.62,-2.07,18.33,409,101,17.6,17.6,0.242,0.0623067093
"26",21.26,135,44.87,-2.07,8.58,405,102,17.4,17.4,0.242,0.0268741383953232
"29",19.81,783,44.87,-2.27,10.25,435,105,17.1,17.1,0.242,0.130425685221752
"45",21.96,242,45.12,-2.98,1.28,396,104,17.3,17.3,0.242,0.115707410943497
"46",41.69,1159,45.12,-2.92,1.83,413,102,17.4,17.4,0.242,0.0985369240218741
"48",93.63,156,45.12,-2.77,3.08,361,102,17.2,17.2,0.242,0.0704395177761181
"50",22.3,126,45.12,-2.63,4.12,390,104,17.3,17.3,0.242,0.0568025763479416
"56",22.12,116,45.12,-2.2,10.22,415,103,18,18,0.242,0.0907005136773744
"63",46.74,60,45.12,-1.57,17.77,237,56,19.2,19.2,0.242,0.506263017127073
"81",25.27,82,45.37,-1.98,4,296,81,18.4,18.4,0.242,0.420186123218942
"88",24.56,83,45.62,-2.12,12.67,297,79,18.4,18.4,0.242,0.575982296478535
"89",89.82,79,45.62,-2.07,13.17,307,74,18.5,18.5,0.242,0.593773987268462
"91",93.04,34,45.3,-1.35,0.75,116,30,18.1,18.1,0.242,0.788210995015044
"94",23.3,50,45.23,-1.48,2.37,165,42,18.3,18.3,0.242,0.64129420929446
"96",46.38,63,45.23,-1.63,3.23,235,58,18.6,18.6,0.242,0.524833569490945
"97",51.3,68,45.25,-1.7,3.68,297,55,18.4,18.4,0.242,0.492391918985892
"98",61.56,74,45.25,-1.78,4.23,288,64,18.4,18.4,0.242,0.446447069250114
"102",24.24,105,45.25,-2.13,6.67,371,100,18.1,18.1,0.242,0.238268663591026
"105",22.65,112,45.37,-2.48,9.58,397,100,18.1,18.1,0.242,0.230781500669874
"109",21.31,130,45.37,-2.85,15.28,401,95,18.1,18.1,0.242,0.156286050148082
"110",23.02,139,45.37,-2.92,15.72,395,102,18,18,0.242,0.116820107230143
"112",20.47,147,45.37,-3.05,16.75,384,94,17.3,17.3,0.242,0.0288824077169003
"113",107.79,158,45.37,-3.13,17.22,384,99,17.3,17.3,0.242,0.0167902369647879
"116",196.28,941,45.37,-3.35,18.62,387,100,17.4,17.4,0.242,0.19439871049722
"117",47.25,2570,45.37,-3.42,19.5,368,103,17.4,17.4,0.242,0.251259574297496
"124",49.59,3789,45.52,-4.12,0.37,341,104,17,17,0.242,0.597680187196417
"125",112.71,3964,45.62,-4.27,1.48,368,104,16.8,16.8,0.242,0.604230196126227
"126",22.09,4015,45.62,-4.2,2.27,379,103,17,17,0.242,0.566716265164422
"127",20.62,3498,45.62,-4.13,2.7,387,101,16.7,16.7,0.242,0.529517130067199
"128",45.7,2602,45.62,-4.05,3.15,363,103,16.9,16.9,0.242,0.48048557194576
"131",21.21,2354,45.62,-3.85,5.47,387,100,17.1,17.1,0.242,0.333673525742075
"132",23.48,1794,45.62,-3.78,5.92,360,103,17.1,17.1,0.242,0.295127730429957
"133",21.81,2101,45.62,-3.7,6.42,373,101,16.9,16.9,0.242,0.253266976900883
"134",40.89,1294,45.62,-3.63,6.8,394,101,16.8,16.8,0.242,0.200372005637772
"135",25.45,1144,45.62,-3.55,7.25,326,104,16.8,16.8,0.242,0.146859821909099
"139",21.82,136,45.62,-3.27,15.6,373,103,16.7,16.7,0.242,0.0333855049845787
"140",18.89,135,45.62,-3.2,16,418,99,16.8,16.8,0.242,0.0716968846926961
"142",18.53,133,45.62,-3.07,16.88,435,103,16.6,16.6,0.242,0.147611337004571
"144",22.15,125,45.62,-2.92,17.95,381,100,17.4,17.4,0.242,0.276248308524631
"153",21.28,73,45.87,-2.07,17.33,274,66,17.9,17.9,0.242,0.826155082244225
"155",117.62,79,45.87,-2.2,18.58,294,79,17.8,17.8,0.242,0.780972590147018
"156",148.56,84,45.87,-2.28,19.03,297,84,17.8,17.8,0.242,0.758762550176317
"163",19.92,120,45.87,-2.98,23.5,400,98,17,17,0.242,0.393478205879658
"170",19.2,151,45.87,-3.63,3.82,388,100,16.1,16.1,0.242,0.00359545632087678
"171",20.25,180,45.87,-3.7,4.28,375,103,16,16,0.242,0.0533279818986398
"173",19.9,934,45.87,-3.85,5.43,378,100,16.2,16.2,0.242,0.16036548463184
"174",20.42,598,45.87,-3.92,5.85,372,99,16.4,16.4,0.242,0.2032680979881
"175",19.49,1003,45.87,-3.98,6.42,386,99,16.3,16.3,0.242,0.238701268701947
"176",19.42,1972,45.87,-4.07,6.83,395,99,16.5,16.5,0.242,0.285704767234628
"179",61.33,3024,45.87,-4.28,8.33,379,100,16.5,16.5,0.242,0.419677318540417
"185",19.44,3883,46.12,-4.95,13.42,387,100,16.2,16.2,0.242,0.5075978088
"188",21.32,2208,46.12,-4.58,15.72,385,100,17.1,17.1,0.242,0.3536401867416
"189",42.66,3518,46.12,-4.52,16.15,392,100,17.3,17.3,0.242,0.329278769282809
"191",377.91,1346,46.12,-4.37,17.02,387,99,17.1,17.1,0.242,0.275487926591001
"192",150.1,1698,46.12,-4.3,17.75,400,95,16.7,16.7,0.242,0.244173158063698
"193",115.09,1200,46.12,-4.23,18.27,396,99,16.4,16.4,0.242,0.190389990936498
"194",17.18,1220,46.12,-4.15,18.65,408,96,15.9,15.9,0.242,0.142550366194654
"196",18.16,154,46.12,-4.02,4.27,382,99,15.5,15.5,0.242,0.0593309693323876
"199",124.29,152,46.12,-3.8,5.63,407,98,16,16,0.242,0.0684702686733244
"215",36.63,51,46.08,-2.28,15.38,196,41,17.8,17.8,0.242,0.963259015577555
"216",41.25,56,46.12,-2.22,16.05,208,49,17.8,17.8,0.242,1.01586120290917
"233",19.76,124,46.37,-3.52,22.75,384,97,16.6,16.6,0.242,0.436972076639739
"246",18.01,166,46.37,-4.45,9.67,389,100,15.5,15.5,0.242,0.0720718138985815
"247",19.42,360,46.37,-4.53,10.03,376,99,16,16,0.242,0.117884899674868
"248",95.09,690,46.37,-4.6,10.47,380,99,15.9,15.9,0.242,0.167014438223324
"249",220.08,914,46.37,-4.67,11.15,386,100,15.6,15.6,0.242,0.20134996423505
"250",233.61,1317,46.37,-4.73,11.57,382,99,15.4,15.4,0.242,0.233951679487031
"259",294.27,3198,46.52,-5.47,16.53,377,100,15.4,15.4,0.242,0.332768606468419
"260",19.14,3793,46.62,-5.62,17.88,355,97,15.5,15.5,0.242,0.428473760628444
"261",22.29,3225,46.62,-5.55,18.77,317,103,15.3,15.3,0.242,0.366881096165105
"262",149.86,2776,46.62,-5.47,19.32,378,99,15.7,15.7,0.242,0.290096123633718
"263",272.9,2523,46.62,-5.4,19.72,367,99,15.8,15.8,0.242,0.224756602557766
"264",40.06,2867,46.62,-5.33,20.17,368,102,15.8,15.8,0.242,0.162179569413926
"266",111.7,1985,46.62,-5.18,21.27,357,100,15,15,0.242,0.0602167334651948
"267",82.62,1841,46.62,-5.1,21.73,335,103,15.1,15.1,0.242,0.04669007891697
"268",35.3,1152,46.62,-5.03,22.15,377,98,15.2,15.2,0.242,0.0375872025491948
"269",198.1,667,46.62,-4.97,22.63,381,100,15.3,15.3,0.242,0.0104181925140752
"271",15.79,388,46.62,-4.88,6.33,395,98,14.6,14.6,0.242,0.00759780879999994
"272",318.36,271,46.62,-4.82,6.73,323,101,14.6,14.6,0.242,0.00759780879999994
"274",37.12,154,46.62,-4.6,8.25,366,99,15.3,15.3,0.242,0.0242108656861044
"277",37.37,145,46.62,-4.38,9.5,379,99,15.7,15.7,0.242,0.159724539588416
"283",22.64,135,46.62,-3.95,12.53,366,100,17.2,17.2,0.242,0.335055056708393
"331",5.43,124,48.25,-5.75,18.63,5847,120,13.8,11.4,0.15,0.922733041727396
"332",3.2,140,48.25,-6.25,20.98,4885,136,13.6,12,0.15,0.689713378195553
"333",6.04,160,48.23,-6.8,23.25,4666,155,13.3,12.4,0.15,0.569496612499997
"334",7.79,173,48.25,-7.27,1.47,5304,166,13.4,12.6,0.15,0.367516173094996
"335",0.82,184,48.25,-7.78,3.73,6912,180,13,12.7,0.15,0.125272891042063
"336",14.98,206,48.27,-8.23,6.62,8307,195,12.9,12.8,0.15,0.0116115201226524
"337",55.53,192,48.23,-8.75,6.65,7996,195,12.9,13,0.15,0.0877499993634342
"338",62.85,256,48.25,-9.25,9.18,6274,199,12.6,12.6,0.15,0.154152246447609
"339",52.25,875,48.23,-9.75,11.53,6364,200,13.1,13,0.15,0.417110197247753
"340",69.2,3000,48.25,-10.27,13.85,7132,201,13.1,12.9,0.15,0.537530786390725
"341",47.45,2700,48.25,-10.77,16.78,7010,200,13.5,13.1,0.15,0.740146172354061
"342",21.52,4000,48.25,-11.25,19.03,6940,200,13.4,13.3,0.15,0.87387873058028
"343",30.86,2800,48.23,-11.73,21.45,6010,200,13.4,13.4,0.15,1.15398622502956
"344",75.5,1600,48.73,-12.73,2.72,5776,200,13,12.8,0.15,1.66150102318723
"345",29.17,1300,48.73,-12.25,5.05,6282,200,13.6,13.4,0.15,1.2186671568842
"346",36.69,1400,48.73,-11.87,7,6125,200,13.3,13.1,0.15,0.889429171901129
"347",151.14,2600,48.75,-11.62,8.42,5606,200,13.3,13.2,0.15,0.68572383674678
"348",172.63,1600,48.75,-11.37,9.83,4863,200,13.4,13.4,0.15,0.52933665346678
"349",107.87,1000,48.73,-11.12,11.18,6096,200,13.3,12.9,0.15,0.391450222278846
"350",178.81,1100,48.75,-10.87,12.6,6268,200,13.4,13.2,0.15,0.269496997663534
"351",133.62,1400,48.73,-10.62,14.2,5728,200,13.2,12.9,0.15,0.262242588413797
"352",116.25,162,48.73,-10.37,16.77,6551,162,13,12.6,0.15,0.11795710671251
"353",123.28,425,48.75,-10.07,20.3,5843,200,12.7,12.4,0.15,0.0157432556000003
"354",213.32,193,48.75,-9.85,21.77,6785,188,13.1,12.7,0.15,0.0253065469617143
"355",144.01,176,48.75,-9.6,23.07,6228,172,12.5,12.4,0.15,0.119013887998601
"356",58.24,175,48.75,-9.37,0.4,5484,171,12.5,12.2,0.15,0.2067097778392
"357",14.81,165,48.75,-9.13,1.72,5608,157,12.9,12.6,0.15,0.329107796033111
"358",1.85,170,48.73,-8.87,3.02,5566,168,13.3,12.5,0.15,0.398858926610069
"359",5.6,146,48.73,-8.63,4.38,4555,135,13.1,12.7,0.15,0.421411279450034
"360",6.85,153,48.75,-8.23,6.15,7086,158,13.1,12.5,0.15,0.446278957913427
"361",5.22,158,48.75,-7.75,8.63,4674,153,13.2,12.8,0.15,0.603252789814856
"362",19.53,153,48.75,-7.23,10.85,5275,144,13.1,12.6,0.15,0.810598840808416
"363",10.37,145,48.75,-6.77,12.98,2305,74,13.7,12.9,0.15,1.07455991000334
"364",2.74,137,48.75,-6.27,14.87,2324,70,14.1,12.4,0.15,1.15962221066972
"365",2.46,126,49.25,-6.73,18.32,2389,60,13.5,13,0.15,1.49043954372071
"366",7.17,135,49.25,-7.22,20.13,1899,61,13.4,12.8,0.15,1.26318170580489
"367",12.26,138,49.25,-7.72,21.97,1464,60,13.2,12.3,0.15,1.082857143901
"368",12.21,127,49.25,-8.25,0,4595,125,12.9,12.3,0.15,0.932159317289823
"369",13.87,152,49.25,-8.63,1.82,5668,146,13,12.3,0.15,0.939043873555249
"370",3.99,154,49.25,-8.88,3.27,4355,149,12.9,12.1,0.15,0.887526452014354
"371",1.12,151,49.25,-9.12,4.57,3922,145,12.8,12.4,0.15,0.762901271138233
"372",9.8,153,49.25,-9.38,5.87,6065,147,12.8,12.6,0.15,0.652631678084413
"373",6.61,154,49.23,-9.65,7.18,6272,150,12.8,12.5,0.15,0.532759007127447
"374",8.1,132,49.25,-9.88,8.53,4626,122,12.9,12.5,0.15,0.499412190971806
"375",82.04,162,49.25,-10.15,9.77,6350,157,13.1,12.8,0.15,0.340920049680279
"376",254.57,136,49.25,-10.37,11.02,4193,128,13.1,12.8,0.15,0.257988187668201
"377",133.75,163,49.25,-10.63,12.32,5631,156,12.9,12.6,0.15,0.257348600770175
"378",35.34,177,49.23,-10.88,13.7,5724,169,13,12.3,0.15,0.15568724563376
"379",79.52,187,49.25,-11.08,14.88,4036,181,13.6,12.6,0.15,0.0439525457909566
"380",124.71,350,49.23,-11.37,16.87,4216,200,13.5,13,0.15,0.213998520472035
"381",351.88,830,49.25,-11.73,17.5,6096,200,14.1,13.6,0.15,0.569261080767182
"382",82.05,1100,49.25,-12.25,20.42,6376,200,13.6,12.9,0.15,1.08893549996876
"383",123.08,1200,49.25,-12.75,22.78,7437,200,13.6,13.2,0.15,1.58882336997925
"384",53.92,2200,49.73,-12.73,2.72,6509,200,13.5,12.8,0.15,1.63244473451698
"385",56.16,1200,49.73,-12.25,4.87,6315,200,13.6,12.6,0.15,1.1787450107925
"386",275.73,780,49.75,-11.75,7,5462,200,13.9,12.8,0.15,0.754550479286986
"387",204.49,450,49.73,-11.33,8.88,6907,200,13.2,12.3,0.15,0.376563136879228
"388",50.83,320,49.73,-11.1,10.35,4931,200,12.7,12.1,0.15,0.1580631431158
"389",25.37,175,49.75,-10.83,11.75,6065,167,13,12.5,0.15,0.0496397168325416
"390",230.82,147,49.75,-10.6,13.15,4736,143,13.8,13.2,0.15,0.196098238593524
"391",10.97,143,49.75,-10.35,14.43,4789,139,13.9,12.7,0.15,0.419240210177272
"392",36.55,141,49.75,-10.08,15.73,5609,141,13.9,12.9,0.15,0.681509218757518
"393",36.63,131,49.73,-9.85,17.03,4404,128,13.9,12.7,0.15,0.905148913406577
"394",43.18,158,49.73,-9.62,18.22,3660,152,13.9,12.7,0.15,1.03026611696901
"395",83.48,118,49.73,-9.33,20.88,4283,112,14,12.5,0.15,1.10731215571013
"396",4.25,142,49.75,-9.12,23.3,4046,140,14.1,12.5,0.15,1.21577264863924
"397",5.32,126,49.75,-8.85,1.03,4772,136,13.8,12.6,0.15,1.33107456194998
"398",4.02,136,49.75,-8.6,2.55,3084,140,13.9,12.2,0.15,1.43771204565671
"400",2.42,133,49.73,-7.72,6.9,5060,131,14.4,12.6,0.15,1.53429366140039
"401",4.94,103,50.25,-7.73,11.15,3096,97,12.7,12.7,0.15,2.0258870904735
"403",31.02,126,50.25,-8.73,16.92,4812,132,13,12.9,0.15,1.83164207995621
"404",51.51,140,50.25,-9.23,20,5017,135,12.8,12.8,0.15,1.47567788346284
"405",50.61,126,50.25,-9.75,22.93,3465,118,12.9,12.9,0.15,0.965814421431652
"406",15.27,137,50.23,-10.1,1.1,5308,132,12.9,12.9,0.15,0.639692834706908
"407",9.25,147,50.23,-10.37,3.33,4407,142,12.9,12.8,0.15,0.398022752318934
"408",8.93,164,50.23,-10.62,5.3,4691,162,12.8,12.9,0.15,0.148869526477177
"409",5.59,208,50.23,-10.87,7.22,5662,201,12.7,12.7,0.15,0.0521180110157429
"410",176.86,550,50.23,-11.13,9.23,5008,200,12.6,12.7,0.15,0.238089263149042
"411",326.13,1100,50.23,-11.38,11.45,6254,200,12.7,12.7,0.15,0.478338755305123
"412",253.29,1600,50.25,-11.73,13.88,6406,200,13,13,0.15,0.826977369261611
"413",122.37,2300,50.25,-12.25,16.82,7326,200,13,13,0.15,1.34398817773032
"414",191.62,2400,50.23,-12.75,19.48,6043,200,12.9,12.9,0.15,1.84158453709702
"415",46.51,2300,50.75,-12.75,0.37,5784,200,12.7,12.5,0.15,1.70698652412647
"416",89.16,2100,50.73,-12.25,2.82,6629,200,12.7,12.7,0.15,1.23283476259771
"417",99.45,2000,50.75,-11.87,4.72,6224,200,12.6,12.4,0.15,0.8753594352935
"418",131.17,1800,50.73,-11.6,6.1,7469,200,12.8,12.7,0.15,0.651914941606309
"419",202.89,1300,50.75,-11.37,7.5,6288,200,12.9,12.8,0.15,0.453746285885478
"420",62.67,330,50.73,-11.12,8.92,6577,200,12.7,12.7,0.15,0.250935409519408
"421",32.44,181,50.73,-10.85,10.67,4820,175,12.9,12.8,0.15,0.0218147471088778
"422",24.85,166,50.73,-10.55,12.08,3744,160,13.1,12.9,0.15,0.223878639455601
"423",10.65,140,50.75,-10.23,14.53,4036,133,13.5,12.9,0.15,0.519921228519224
"424",1.19,123,50.75,-9.72,16.8,3121,118,13.5,12.7,0.15,1.00277542547639
"425",20.62,130,50.73,-9.23,18.55,3789,124,13.1,12.7,0.15,1.47751261459974
"426",18.96,105,50.73,-8.73,20.47,2945,96,13.1,12.9,0.15,1.97230658271004
